21
  [20] -> x: -0.451589, y: -0.0228869, z: 0.119397
21
  [0] -> x: -0.202765, y: -0.13489, z: 0.714808
  [1] -> x: -0.168421, y: -0.0782898, z: 0.680277
  [2] -> x: -0.26453, y: -0.0862557, z: 0.655092
  [3] -> x: -0.0772389, y: -0.118666, z: 0.678767
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0844007, y: -0.127778, z: 0.690723
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216475, y: -0.0822727, z: 0.667684
  [10] -> x: -0.235978, y: -0.016249, z: 0.429715
  [11] -> x: -0.227502, y: 0.00690155, z: 0.43397
  [12] -> x: -0.244453, y: -0.0393996, z: 0.42546
  [13] -> x: -0.251549, y: -0.1272, z: 0.405309
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.291134, y: -0.0717138, z: 0.202023
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.265848, y: -0.0671539, z: 0.184527
  [18] -> x: -0.281848, y: -0.0724039, z: 0.189324
  [19] -> x: -0.344471, y: -0.100855, z: 0.116063
  [20] -> x: -0.451099, y: -0.0232574, z: 0.119477
21
  [0] -> x: -0.202765, y: -0.13489, z: 0.714808
  [1] -> x: -0.16842, y: -0.0782902, z: 0.680277
  [2] -> x: -0.264529, y: -0.086256, z: 0.655092
  [3] -> x: -0.0772266, y: -0.118665, z: 0.678769
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0846342, y: -0.127478, z: 0.690533
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216475, y: -0.0822731, z: 0.667685
  [10] -> x: -0.235978, y: -0.016249, z: 0.429715
  [11] -> x: -0.227502, y: 0.00690255, z: 0.43397
  [12] -> x: -0.244453, y: -0.0394006, z: 0.425459
  [13] -> x: -0.251508, y: -0.127217, z: 0.405307
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.291049, y: -0.0717129, z: 0.202003
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.26576, y: -0.0670928, z: 0.184476
  [18] -> x: -0.281786, y: -0.072348, z: 0.189413
